Frame, Millseconds, Label, X1, X2, Y1, Y2
65.0,2.1666666666666665,person 0,434,519,190,421
65.0,2.1666666666666665,person 1,1013,1085,88,253
65.0,2.1666666666666665,frisbee 2,502,532,344,372
66.0,2.2,person 0,435,513,187,418
66.0,2.2,person 1,1007,1078,88,253
66.0,2.2,sports ball 2,496,529,341,373
67.0,2.2333333333333334,person 0,436,510,183,415
67.0,2.2333333333333334,person 1,1002,1073,87,252
67.0,2.2333333333333334,sports ball 2,497,527,340,372
68.0,2.2666666666666666,person 0,435,510,178,413
68.0,2.2666666666666666,person 1,996,1068,87,251
68.0,2.2666666666666666,sports ball 2,495,524,340,373
69.0,2.3,person 0,435,508,176,408
69.0,2.3,person 1,991,1062,89,253
69.0,2.3,sports ball 2,493,521,342,373
70.0,2.3333333333333335,person 0,434,508,174,406
70.0,2.3333333333333335,person 1,984,1058,87,253
70.0,2.3333333333333335,sports ball 2,494,520,340,369
71.0,2.3666666666666667,person 0,433,509,176,405
71.0,2.3666666666666667,person 1,980,1053,87,254
71.0,2.3666666666666667,sports ball 2,493,518,338,368
72.0,2.4,person 0,432,513,176,403
72.0,2.4,person 1,975,1046,89,254
73.0,2.4333333333333336,person 0,430,513,177,403
73.0,2.4333333333333336,person 1,970,1042,89,256
74.0,2.4666666666666663,person 0,966,1037,89,257
74.0,2.4666666666666663,person 1,428,514,175,404
74.0,2.4666666666666663,bench 2,1212,1276,37,59
75.0,2.5,person 0,961,1033,90,257
75.0,2.5,person 1,427,506,178,402
76.0,2.5333333333333337,person 0,424,499,180,403
76.0,2.5333333333333337,person 1,956,1028,91,256
76.0,2.5333333333333337,sports ball 2,486,508,337,362
77.0,2.5666666666666664,person 0,421,496,181,401
77.0,2.5666666666666664,person 1,952,1019,89,256
77.0,2.5666666666666664,sports ball 2,476,500,336,361
78.0,2.6,person 0,413,493,181,398
78.0,2.6,person 1,946,1012,88,251
78.0,2.6,sports ball 2,472,497,334,363
79.0,2.6333333333333333,person 0,409,488,182,398
79.0,2.6333333333333333,person 1,940,1001,85,252
79.0,2.6333333333333333,sports ball 2,462,491,333,362
80.0,2.6666666666666665,person 0,403,483,182,393
80.0,2.6666666666666665,person 1,935,991,86,252
80.0,2.6666666666666665,sports ball 2,460,487,335,360
81.0,2.7,person 0,396,485,178,392
81.0,2.7,person 1,927,983,87,251
81.0,2.7,sports ball 2,457,483,335,362
82.0,2.7333333333333334,person 0,389,485,174,391
82.0,2.7333333333333334,person 1,918,975,86,251
82.0,2.7333333333333334,sports ball 2,455,477,333,360
83.0,2.7666666666666666,person 0,387,485,172,387
83.0,2.7666666666666666,person 1,911,969,85,253
83.0,2.7666666666666666,sports ball 2,451,474,334,360
84.0,2.8,person 0,384,485,171,386
84.0,2.8,person 1,901,963,85,249
85.0,2.8333333333333335,person 0,382,486,170,383
85.0,2.8333333333333335,person 1,892,959,89,251
85.0,2.8333333333333335,sports ball 2,442,464,333,360
86.0,2.8666666666666667,person 0,381,487,168,376
86.0,2.8666666666666667,person 1,889,951,86,253
86.0,2.8666666666666667,person 2,854,962,92,244
86.0,2.8666666666666667,sports ball 3,438,460,334,361
87.0,2.9,person 0,380,487,168,372
87.0,2.9,person 1,859,947,88,250
87.0,2.9,sports ball 2,440,462,331,357
88.0,2.9333333333333336,person 0,381,488,168,382
88.0,2.9333333333333336,person 1,859,945,87,249
88.0,2.9333333333333336,sports ball 2,438,468,325,358
89.0,2.9666666666666663,person 0,385,488,168,386
89.0,2.9666666666666663,person 1,850,941,87,251
89.0,2.9666666666666663,sports ball 2,446,477,324,356
90.0,3.0,person 0,385,489,169,377
90.0,3.0,person 1,857,940,90,251
90.0,3.0,sports ball 2,450,487,318,353
91.0,3.0333333333333337,person 0,387,489,167,381
91.0,3.0333333333333337,person 1,865,938,89,254
91.0,3.0333333333333337,sports ball 2,460,498,319,349
92.0,3.0666666666666664,person 0,390,489,165,383
92.0,3.0666666666666664,person 1,855,935,88,252
92.0,3.0666666666666664,sports ball 2,471,507,316,346
93.0,3.1,person 0,393,489,165,382
93.0,3.1,person 1,858,932,87,254
93.0,3.1,sports ball 2,483,519,319,347
94.0,3.1333333333333333,person 0,396,486,165,383
94.0,3.1333333333333333,person 1,856,929,90,251
94.0,3.1333333333333333,sports ball 2,494,526,322,351
95.0,3.1666666666666665,person 0,398,483,164,381
95.0,3.1666666666666665,person 1,850,926,90,252
95.0,3.1666666666666665,sports ball 2,502,532,322,349
96.0,3.2,person 0,399,478,163,378
96.0,3.2,person 1,849,923,87,249
96.0,3.2,sports ball 2,505,536,320,350
97.0,3.2333333333333334,person 0,399,473,163,381
97.0,3.2333333333333334,person 1,847,915,85,250
97.0,3.2333333333333334,sports ball 2,508,540,318,348
98.0,3.2666666666666666,person 0,398,467,163,371
98.0,3.2666666666666666,person 1,841,909,87,252
98.0,3.2666666666666666,sports ball 2,510,543,317,347
99.0,3.3,person 0,400,473,163,370
99.0,3.3,person 1,836,905,87,251
99.0,3.3,sports ball 2,514,545,317,347
100.0,3.3333333333333335,person 0,402,477,162,371
100.0,3.3333333333333335,person 1,830,899,88,252
100.0,3.3333333333333335,sports ball 2,517,550,319,347
101.0,3.3666666666666667,person 0,405,484,163,369
101.0,3.3666666666666667,person 1,825,897,88,250
101.0,3.3666666666666667,sports ball 2,520,552,319,348
